Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
2,0.5,1,25,"[0.0, 32.05134230429553, 69.97545377743478, 108.39447411111718, 147.30010210761935, 189.43227415592634, 235.45924495206197, 290.11183571465375, 347.2407423437459, 393.54831485656763]","[4.1816826, 4.177272299999999, 4.174398399999999, 4.1721935, 4.1704216, 4.1689649, 4.1678624, 4.166877700000001, 4.1660118, 4.1651454, 4.164594200000001, 4.1639643, 4.1634917, 4.1630588]",3221.568945201824,3.6,3.7
3,0.5,1,25,"[0.0, 32.714854008955285, 70.69045851221807, 108.29726429919634, 146.85899451445647, 188.8487104207623, 235.34983613917092, 289.2708426898277, 346.54114063844276, 393.5480282676867]","[4.181643, 4.1771936, 4.1743193, 4.1721144, 4.170382, 4.169004, 4.1678228, 4.1669564, 4.165932700000001, 4.1652241000000005, 4.1645546, 4.1640034, 4.163412999999999, 4.1629796]",3220.474811570097,3.6,3.7
4,0.5,1,25,"[0.0, 25.973957879191175, 64.11812125866868, 101.39998734542667, 140.55004373836846, 181.92367863501931, 228.44859926721801, 281.88027794295954, 338.99250912119646, 393.5486817145452]","[4.1815643, 4.177115000000001, 4.174122799999999, 4.1719179, 4.1701851, 4.1688466, 4.1677046, 4.1666417, 4.165932700000001, 4.1651058, 4.164358099999999, 4.1638064, 4.1633735, 4.1627436]",3218.161165115557,3.6,3.7
5,0.5,1,25,"[0.0, 25.913025329528978, 63.781540993873364, 101.53055039665583, 140.0573065853397, 181.11107835508858, 227.14956644013387, 280.03681749114287, 337.07270208177476, 393.55234861897793]","[4.181643, 4.177272299999999, 4.1743193, 4.1720753, 4.1703429, 4.1690435, 4.1678228, 4.1667204, 4.1660118, 4.1651058, 4.1645546, 4.1639247, 4.1634917, 4.1629405]",3216.665560883112,3.6,3.7
6,0.5,1,25,"[0.0, 30.073604709378742, 68.16396907581213, 105.27962760047774, 143.74498782935427, 185.03651863866298, 230.6225702719039, 283.4141404162144, 340.43630973871564, 393.5567649813504]","[4.1814857000000005, 4.1770363, 4.1742015, 4.1720753, 4.1703429, 4.168885700000001, 4.1677833, 4.1666417, 4.1658936, 4.1652241000000005, 4.1645155, 4.1640825, 4.1634917, 4.1629009]",3214.311977406278,3.6,3.7
7,0.5,1,25,"[0.0, 33.59082459101052, 70.78954818231523, 108.4723699315399, 147.07590249704674, 188.32675044382415, 233.19320725372438, 285.50734457135604, 343.17805939484447, 393.55402509365547]","[4.181721700000001, 4.1772332, 4.1742406, 4.1721144, 4.1703033, 4.168807, 4.1677442000000005, 4.1666417, 4.1658936, 4.1651454, 4.1644759, 4.1639247, 4.1633344, 4.1629009]",3212.261872269693,3.6,3.7
8,0.5,1,25,"[0.0, 22.734570581391267, 60.12081312094597, 98.02083725655962, 135.81808902299736, 176.68432801143774, 221.75161695255133, 274.3241466209204, 331.65445241104067, 378.9745429958091]","[4.1816039, 4.1771936, 4.1742406, 4.171957, 4.1702247, 4.1689253, 4.1677046, 4.1667204, 4.1658936, 4.1651454, 4.164594200000001, 4.1640034, 4.1633735, 4.1629796]",3209.898187485082,3.6,3.7
9,0.5,1,25,"[0.0, 25.494199418440644, 62.82232010282979, 99.9512210493503, 138.54497282547942, 178.50802067258968, 223.77644885080514, 276.1635275520777, 333.5086790102641, 378.98317438069665]","[4.1814857000000005, 4.1770759, 4.1742015, 4.1720357, 4.170382, 4.1688466, 4.1676655, 4.1667204, 4.165932700000001, 4.165066700000001, 4.1643972, 4.163846, 4.1633735, 4.1629009]",3207.329063119029,3.6,3.7
10,0.5,1,25,"[0.0, 28.739871230715153, 65.60451565050545, 103.16107304692588, 140.7386571461812, 181.46049186425563, 226.33544651049607, 278.15727476790033, 335.8751615071512, 378.9795209240045]","[4.1815643, 4.1770759, 4.1743193, 4.1719966, 4.1702638, 4.1688466, 4.1677442000000005, 4.166563, 4.165854, 4.1651454, 4.1645546, 4.1639247, 4.1633735, 4.1629009]",3205.0803952644847,3.6,3.7
11,0.5,1,25,"[0.0, 30.92812692540872, 67.943849957721, 105.45260945857672, 143.2607868973755, 183.69830659389027, 228.11819464920598, 279.953197446898, 337.0203949974692, 393.5552317936198]","[4.1816039, 4.1769576, 4.174122799999999, 4.171957, 4.170146, 4.1688466, 4.1676655, 4.1666021, 4.165854, 4.164988, 4.1644759, 4.1638856, 4.1633735, 4.1628222]",3202.333156381836,3.6,3.7
